iter	RMSE
0	5.093961591
1	4.61602263
2	4.191013857
3	3.802539575
4	3.455377971
5	3.14159707
6	2.85581084
7	2.605040543
8	2.381423756
9	2.186399005
10	2.006981995
11	1.85588875
12	1.708618385
13	1.58617797
14	1.478884031
15	1.375645408
16	1.285265546
17	1.21050133
18	1.140565552
19	1.081884721
20	1.0285887
21	0.9818296909
22	0.9431980076
23	0.9081675404
24	0.8701229095
25	0.8377373604
26	0.8090092555
27	0.7850775174
28	0.7630187665
29	0.7473862673
30	0.7316050559
31	0.7136151461
32	0.6971580946
33	0.6843240554
34	0.6709806774
35	0.6577583455
36	0.6473154027
37	0.6395933152
38	0.6311401534
39	0.6240314217
40	0.6145491125
41	0.6099130597
42	0.6004509115
43	0.5939453479
44	0.5890972209
45	0.583497746
46	0.5769926396
47	0.573777659
48	0.5685024914
49	0.5629503125
50	0.5591681894
51	0.5555023153
52	0.5510076578
53	0.5477098982
54	0.5420725745
55	0.5367890738
56	0.5344353136
57	0.5302767858
58	0.5277826336
59	0.5241798104
60	0.5210209691
61	0.5175247429
62	0.5113983294
63	0.5064655737
64	0.5025020887
65	0.4990362267
66	0.4968463548
67	0.4944515015
68	0.4906164556
69	0.4868557147
70	0.4834579776
71	0.4805021468
72	0.4777242757
73	0.4763086354
74	0.4746146929
75	0.4718008612
76	0.4696239856
77	0.4671956627
78	0.463942754
79	0.461769686
80	0.4587085548
81	0.4578975092
82	0.4554073939
83	0.4534419675
84	0.4512679314
85	0.4490878653
86	0.4479422531
87	0.446286119
88	0.4443698256
89	0.4422896352
90	0.4399740508
91	0.4389319931
92	0.437111411
93	0.43449462
94	0.4332810011
95	0.4318236221
96	0.4297842574
97	0.4280614018
98	0.4259087463
99	0.4241521408
