iter	Passed	Remaining
0	311	30861
1	329	16155
2	352	11397
3	378	9084
4	401	7633
5	427	6696
6	451	5999
7	477	5486
8	510	5162
9	545	4908
10	730	5913
11	790	5798
12	849	5686
13	927	5695
14	981	5560
15	1031	5414
16	1083	5292
17	1147	5228
18	1201	5120
19	1265	5062
20	1316	4951
21	1374	4873
22	1440	4822
23	1499	4748
24	1549	4647
25	1622	4617
26	1694	4581
27	1743	4483
28	1793	4390
29	1830	4270
30	1876	4176
31	1914	4068
32	1972	4005
33	2025	3932
34	2078	3860
35	2124	3776
36	2174	3703
37	2216	3616
38	2251	3521
39	2297	3446
40	2368	3408
41	2428	3354
42	2459	3260
43	2498	3179
44	2531	3093
45	2564	3011
46	2599	2930
47	2633	2852
48	2668	2777
49	2703	2703
50	2737	2630
51	2771	2558
52	2804	2486
53	2833	2414
54	2867	2346
55	2905	2282
56	2934	2213
57	2962	2145
58	2991	2079
59	3024	2016
60	3054	1952
61	3084	1890
62	3114	1828
63	3142	1767
64	3171	1707
65	3205	1651
66	3237	1594
67	3269	1538
68	3301	1483
69	3335	1429
70	3366	1375
71	3402	1323
72	3468	1282
73	3506	1232
74	3542	1180
75	3576	1129
76	3633	1085
77	3679	1037
78	3742	994
79	3786	946
80	3812	894
81	3841	843
82	3873	793
83	3904	743
84	3936	694
85	3971	646
86	3993	596
87	4018	547
88	4042	499
89	4069	452
90	4096	405
91	4121	358
92	4148	312
93	4173	266
94	4200	221
95	4228	176
96	4254	131
97	4283	87
98	4313	43
99	4345	0
